sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
102.3,"Braidwood",1,59.7,4222,17.1,2087,101021007,23.2,49.6,"New South Wales",2135
99.0,"Karabar",1,65.7,8372,19.5,4207,101021008,14.7,38.4,"New South Wales",4165
108.1,"Cooma Region",1,58.8,3382,16.2,1625,101031015,25.0,50.0,"New South Wales",1757
118.4,"Jindabyne - Berridale",1,69.4,7215,17.3,3304,101031016,13.3,39.7,"New South Wales",3911
95.5,"Batemans Bay",1,53.2,8025,16.7,4104,101041017,30.1,50.5,"New South Wales",3921
94.8,"Batemans Bay - South",1,52.4,8528,14.6,4378,101041018,33.1,54.4,"New South Wales",4150
94.3,"Bega - Tathra",1,58.7,8697,19.5,4476,101041019,21.9,45.9,"New South Wales",4221
102.4,"Bega-Eden Hinterland",1,60.6,8894,16.4,4394,101041020,23.0,51.6,"New South Wales",4500
97.3,"Broulee - Tomakin",1,54.5,3529,15.4,1789,101041021,30.0,52.4,"New South Wales",1740
108.3,"Deua - Wadbilliga",1,52.0,25,0.0,12,101041022,48.0,64.5,"New South Wales",13
98.6,"Eden",1,55.5,3236,15.7,1629,101041023,28.9,51.5,"New South Wales",1607
100.5,"Eurobodalla Hinterland",1,61.8,3406,13.2,1699,101041024,25.0,52.2,"New South Wales",1707
93.7,"Merimbula - Tura Beach",1,54.5,11310,14.4,5839,101041025,31.0,53.5,"New South Wales",5471
99.0,"Moruya - Tuross Head",1,55.8,8243,13.9,4143,101041026,30.4,55.0,"New South Wales",4100
95.0,"Narooma - Bermagui",1,50.6,9205,13.8,4721,101041027,35.6,58.3,"New South Wales",4484
95.3,"Mudgee",1,60.3,12518,23.0,6409,103031072,16.6,36.4,"New South Wales",6109
105.7,"Mudgee Region - East",1,55.9,3475,15.3,1689,103031073,28.8,52.1,"New South Wales",1786
106.0,"Mudgee Region - West",1,58.9,10630,19.4,5160,103031074,21.7,46.3,"New South Wales",5470
null,"Wollangambe - Wollemi",1,null,0,null,0,103031075,null,null,"New South Wales",0
103.4,"Northampton - Mullewa - Greenough",5,59.0,5490,20.1,2699,511041292,20.9,47.6,"Western Australia",2791
101.7,"Queanbeyan",1,68.8,11451,16.5,5678,101021009,14.7,36.7,"New South Wales",5773
112.9,"Queanbeyan - East",1,70.8,5150,17.1,2419,101021010,12.1,36.4,"New South Wales",2731
104.1,"Queanbeyan Region",1,65.4,20241,22.2,9915,101021011,12.4,38.8,"New South Wales",10326
97.0,"Gosford - Springfield",1,64.5,19889,16.8,10094,102011032,18.6,39.7,"New South Wales",9795
99.5,"Blayney",1,60.0,7382,20.6,3701,103041076,19.4,42.8,"New South Wales",3681
89.9,"Orange",1,60.5,18875,18.5,9940,103041077,21.0,40.0,"New South Wales",8935
96.2,"Orange - North",1,62.3,21929,24.9,11176,103041078,12.7,33.9,"New South Wales",10753
102.7,"Orange Region",1,59.6,12048,21.8,5944,103041079,18.6,42.3,"New South Wales",6104
96.9,"Grafton",1,58.7,19046,18.7,9671,104011080,22.6,42.6,"New South Wales",9375
