Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - at 30 June,Estimated resident population (no.),,,24190907,24594202,24966643,25340217,25655289,25688079,
ERP_21,Estimated resident population - at 30 June,Population density (persons/km2),,,3.1,3.2,3.2,3.3,3.3,3.3,
ERP_M_20,Estimated resident population - at 30 June,Estimated resident population - males (no.),,,12003039,12204216,12391538,12579318,12730767,12749582,
ERP_F_20,Estimated resident population - at 30 June,Estimated resident population - females (no.),,,12187868,12389986,12575105,12760899,12924522,12938497,
ERP_19,Estimated resident population - at 30 June,Median age - males (years),,,36.4,36.4,36.5,36.6,37,37.5,
ERP_22,Estimated resident population - at 30 June,Median age - females (years),,,38.1,38.1,38.2,38.3,38.7,39.2,
ERP_23,Estimated resident population - at 30 June,Median age - persons (years),,,37.2,37.3,37.4,37.5,37.9,38.4,
ERP_18,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,,15946059,16170405,16373286,16576593,16711153,16623675,
ERP_17,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,,65.9,65.7,65.6,65.4,65.1,64.7,
ERP_M_2,Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,,807893,809078,803919,799879,789922,776290,
ERP_M_3,Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,,804219,814918,824102,830010,832522,831593,
ERP_M_4,Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,,735448,757867,781373,803595,824721,835444,
ERP_M_5,Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,,755575,759941,764625,769795,766362,762032,
ERP_M_6,Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,,864974,875737,886064,895073,878023,837110,
ERP_M_7,Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,,907735,923873,937516,951320,949259,918413,
ERP_M_8,Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,,892061,910149,922569,935292,947181,940528,
ERP_M_9,Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,,801868,827821,858480,887660,914624,928244,
ERP_M_10,Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,,807640,798040,792735,792771,801594,815889,
ERP_M_11,Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,,785668,809461,824165,830452,831407,817302,
ERP_M_12,Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,,762788,756819,753852,757792,771400,794156,
ERP_M_13,Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,,723738,739462,752500,762161,767982,762539,
ERP_M_14,Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,,637586,649299,661199,677498,697736,711192,
ERP_M_15,Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,,589110,586691,590153,596909,609923,617537,
ERP_M_16,Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,,436841,469893,498710,518390,540322,554692,
ERP_M_17,Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,,308155,321406,332804,349136,368107,387842,
ERP_M_18,Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,,202502,209694,218093,227771,239533,249962,
ERP_M_19,Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,,179238,184067,188679,193814,200149,208817,
ERP_M_21,Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,,6.7,6.6,6.5,6.4,6.2,6.1,
ERP_M_22,Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,,6.7,6.7,6.7,6.6,6.5,6.5,
ERP_M_23,Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,,6.1,6.2,6.3,6.4,6.5,6.6,
ERP_M_24,Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,,6.3,6.2,6.2,6.1,6,6,
ERP_M_25,Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,,7.2,7.2,7.2,7.1,6.9,6.6,
ERP_M_26,Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,,7.6,7.6,7.6,7.6,7.5,7.2,
ERP_M_27,Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,,7.4,7.5,7.4,7.4,7.4,7.4,
ERP_M_28,Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,,6.7,6.8,6.9,7.1,7.2,7.3,
ERP_M_29,Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,,6.7,6.5,6.4,6.3,6.3,6.4,
ERP_M_30,Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,,6.5,6.6,6.7,6.6,6.5,6.4,
ERP_M_31,Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,,6.4,6.2,6.1,6,6.1,6.2,
ERP_M_32,Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,,6,6.1,6.1,6.1,6,6,
ERP_M_33,Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,,5.3,5.3,5.3,5.4,5.5,5.6,
ERP_M_34,Estimated resident population - Males - at 30 June,Males - 65-69 years (%),,,4.9,4.8,4.8,4.7,4.8,4.8,
ERP_M_35,Estimated resident population - Males - at 30 June,Males - 70-74 years (%),,,3.6,3.9,4,4.1,4.2,4.4,
ERP_M_36,Estimated resident population - Males - at 30 June,Males - 75-79 years (%),,,2.6,2.6,2.7,2.8,2.9,3,
ERP_M_37,Estimated resident population - Males - at 30 June,Males - 80-84 years (%),,,1.7,1.7,1.8,1.8,1.9,2,
ERP_M_38,Estimated resident population - Males - at 30 June,Males - 85 and over (%),,,1.5,1.5,1.5,1.5,1.6,1.6,
ERP_F_2,Estimated resident population - Females - at 30 June,Females - 0-4 years (no.),,,765733,765492,759809,754659,745891,733669,
ERP_F_3,Estimated resident population - Females - at 30 June,Females - 5-9 years (no.),,,763062,773146,780755,786614,787353,785181,
ERP_F_4,Estimated resident population - Females - at 30 June,Females - 10-14 years (no.),,,696242,715636,736474,757500,778416,788448,
ERP_F_5,Estimated resident population - Females - at 30 June,Females - 15-19 years (no.),,,719579,721630,723795,725334,720419,717600,
ERP_F_6,Estimated resident population - Females - at 30 June,Females - 20-24 years (no.),,,829100,838629,845699,846908,828140,786274,
ERP_F_7,Estimated resident population - Females - at 30 June,Females - 25-29 years (no.),,,906561,922082,933402,943638,938731,903618,
ERP_F_8,Estimated resident population - Females - at 30 June,Females - 30-34 years (no.),,,902024,923176,938008,952450,963532,959092,
ERP_F_9,Estimated resident population - Females - at 30 June,Females - 35-39 years (no.),,,805594,834446,867408,898179,926166,939143,
ERP_F_10,Estimated resident population - Females - at 30 June,Females - 40-44 years (no.),,,819136,806771,802382,806600,819851,838611,
ERP_F_11,Estimated resident population - Females - at 30 June,Females - 45-49 years (no.),,,819262,840537,851681,853197,851569,832733,
ERP_F_12,Estimated resident population - Females - at 30 June,Females - 50-54 years (no.),,,785688,781056,778129,782977,796772,817398,
ERP_F_13,Estimated resident population - Females - at 30 June,Females - 55-59 years (no.),,,752177,768418,780835,791358,798988,787968,
ERP_F_14,Estimated resident population - Females - at 30 June,Females - 60-64 years (no.),,,667305,683058,698242,716138,741417,753833,
ERP_F_15,Estimated resident population - Females - at 30 June,Females - 65-69 years (no.),,,603963,608428,619675,633668,652644,662606,
ERP_F_16,Estimated resident population - Females - at 30 June,Females - 70-74 years (no.),,,453355,487597,518453,542525,570257,592081,
ERP_F_17,Estimated resident population - Females - at 30 June,Females - 75-79 years (no.),,,343045,354570,364349,379804,399272,419353,
ERP_F_18,Estimated resident population - Females - at 30 June,Females - 80-84 years (no.),,,252601,258800,266368,276012,286609,295446,
ERP_F_19,Estimated resident population - Females - at 30 June,Females - 85 and over (no.),,,303441,306514,309641,313338,318495,325443,
ERP_F_21,Estimated resident population - Females - at 30 June,Females - 0-4 years (%),,,6.3,6.2,6,5.9,5.8,5.7,
ERP_F_22,Estimated resident population - Females - at 30 June,Females - 5-9 years (%),,,6.3,6.2,6.2,6.2,6.1,6.1,
ERP_F_23,Estimated resident population - Females - at 30 June,Females - 10-14 years (%),,,5.7,5.8,5.9,5.9,6,6.1,
ERP_F_24,Estimated resident population - Females - at 30 June,Females - 15-19 years (%),,,5.9,5.8,5.8,5.7,5.6,5.5,
ERP_F_25,Estimated resident population - Females - at 30 June,Females - 20-24 years (%),,,6.8,6.8,6.7,6.6,6.4,6.1,
ERP_F_26,Estimated resident population - Females - at 30 June,Females - 25-29 years (%),,,7.4,7.4,7.4,7.4,7.3,7,
ERP_F_27,Estimated resident population - Females - at 30 June,Females - 30-34 years (%),,,7.4,7.5,7.5,7.5,7.5,7.4,
