Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - at 30 June,Estimated resident population (no.),,,245678,248161,248363,248153,248943,249200,
ERP_21,Estimated resident population - at 30 June,Population density (persons/km2),,,0.2,0.2,0.2,0.2,0.2,0.2,
ERP_M_20,Estimated resident population - at 30 June,Estimated resident population - males (no.),,,127676,128714,128322,127549,127059,126851,
ERP_F_20,Estimated resident population - at 30 June,Estimated resident population - females (no.),,,118002,119447,120041,120604,121884,122349,
ERP_19,Estimated resident population - at 30 June,Median age - males (years),,,32.4,32.5,32.6,32.7,33,33.2,
ERP_22,Estimated resident population - at 30 June,Median age - females (years),,,32.3,32.4,32.7,32.9,33.3,33.6,
ERP_23,Estimated resident population - at 30 June,Median age - persons (years),,,32.4,32.5,32.7,32.8,33.1,33.4,
ERP_18,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,,175124,176573,176217,175580,175401,174776,
ERP_17,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,,71.3,71.2,71,70.8,70.5,70.1,
ERP_M_2,Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,,9844,9829,9659,9489,9317,9223,
ERP_M_3,Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,,9405,9497,9421,9333,9265,9229,
ERP_M_4,Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,,8248,8376,8506,8559,8723,8852,
ERP_M_5,Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,,7912,8121,8086,7978,7912,7873,
ERP_M_6,Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,,9873,9758,9881,9824,9406,9260,
ERP_M_7,Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,,12584,12485,12069,11908,11606,11359,
ERP_M_8,Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,,11913,12245,12057,11915,11862,11754,
ERP_M_9,Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,,9903,10057,10210,10266,10292,10344,
ERP_M_10,Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,,9217,9071,8916,8698,8575,8652,
ERP_M_11,Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,,8931,8945,8928,8719,8496,8175,
ERP_M_12,Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,,8120,8064,7841,7782,7806,7935,
ERP_M_13,Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,,6997,7129,7207,7201,7216,7119,
ERP_M_14,Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,,5737,5796,5760,5734,5909,5937,
ERP_M_15,Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,,4194,4238,4330,4360,4447,4544,
ERP_M_16,Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,,2452,2578,2754,2942,3169,3326,
ERP_M_17,Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,,1364,1499,1569,1677,1749,1813,
ERP_M_18,Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,,587,605,685,707,839,939,
ERP_M_19,Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,,395,421,443,457,470,517,
ERP_M_21,Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,,7.7,7.6,7.5,7.4,7.3,7.3,
ERP_M_22,Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,,7.4,7.4,7.3,7.3,7.3,7.3,
ERP_M_23,Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,,6.5,6.5,6.6,6.7,6.9,7,
ERP_M_24,Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,,6.2,6.3,6.3,6.3,6.2,6.2,
ERP_M_25,Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,,7.7,7.6,7.7,7.7,7.4,7.3,
ERP_M_26,Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,,9.9,9.7,9.4,9.3,9.1,9,
ERP_M_27,Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,,9.3,9.5,9.4,9.3,9.3,9.3,
ERP_M_28,Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,,7.8,7.8,8,8,8.1,8.2,
ERP_M_29,Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,,7.2,7,6.9,6.8,6.7,6.8,
ERP_M_30,Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,,7,6.9,7,6.8,6.7,6.4,
ERP_M_31,Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,,6.4,6.3,6.1,6.1,6.1,6.3,
ERP_M_32,Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,,5.5,5.5,5.6,5.6,5.7,5.6,
ERP_M_33,Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,,4.5,4.5,4.5,4.5,4.7,4.7,
ERP_M_34,Estimated resident population - Males - at 30 June,Males - 65-69 years (%),,,3.3,3.3,3.4,3.4,3.5,3.6,
ERP_M_35,Estimated resident population - Males - at 30 June,Males - 70-74 years (%),,,1.9,2,2.1,2.3,2.5,2.6,
ERP_M_36,Estimated resident population - Males - at 30 June,Males - 75-79 years (%),,,1.1,1.2,1.2,1.3,1.4,1.4,
ERP_M_37,Estimated resident population - Males - at 30 June,Males - 80-84 years (%),,,0.5,0.5,0.5,0.6,0.7,0.7,
ERP_M_38,Estimated resident population - Males - at 30 June,Males - 85 and over (%),,,0.3,0.3,0.3,0.4,0.4,0.4,
ERP_F_2,Estimated resident population - Females - at 30 June,Females - 0-4 years (no.),,,9512,9394,9046,8815,8649,8456,
ERP_F_3,Estimated resident population - Females - at 30 June,Females - 5-9 years (no.),,,8833,8980,8940,8855,8828,8863,
ERP_F_4,Estimated resident population - Females - at 30 June,Females - 10-14 years (no.),,,7756,7840,8006,8103,8173,8208,
ERP_F_5,Estimated resident population - Females - at 30 June,Females - 15-19 years (no.),,,7009,7132,7186,7154,7226,7304,
ERP_F_6,Estimated resident population - Females - at 30 June,Females - 20-24 years (no.),,,8633,8561,8487,8504,8460,8083,
ERP_F_7,Estimated resident population - Females - at 30 June,Females - 25-29 years (no.),,,11783,11922,11731,11726,11671,11536,
ERP_F_8,Estimated resident population - Females - at 30 June,Females - 30-34 years (no.),,,11349,11664,11894,11876,11868,12008,
ERP_F_9,Estimated resident population - Females - at 30 June,Females - 35-39 years (no.),,,9265,9620,9848,10013,10317,10462,
ERP_F_10,Estimated resident population - Females - at 30 June,Females - 40-44 years (no.),,,8441,8307,8335,8375,8571,8766,
ERP_F_11,Estimated resident population - Females - at 30 June,Females - 45-49 years (no.),,,8318,8385,8292,8248,8074,7861,
ERP_F_12,Estimated resident population - Females - at 30 June,Females - 50-54 years (no.),,,7509,7436,7443,7474,7659,7811,
ERP_F_13,Estimated resident population - Females - at 30 June,Females - 55-59 years (no.),,,6581,6654,6802,6781,6824,6744,
ERP_F_14,Estimated resident population - Females - at 30 June,Females - 60-64 years (no.),,,5049,5221,5244,5404,5651,5793,
ERP_F_15,Estimated resident population - Females - at 30 June,Females - 65-69 years (no.),,,3447,3572,3727,3905,4115,4207,
ERP_F_16,Estimated resident population - Females - at 30 June,Females - 70-74 years (no.),,,2058,2147,2316,2468,2746,2979,
ERP_F_17,Estimated resident population - Females - at 30 June,Females - 75-79 years (no.),,,1217,1301,1381,1496,1523,1594,
ERP_F_18,Estimated resident population - Females - at 30 June,Females - 80-84 years (no.),,,689,724,758,781,874,992,
ERP_F_19,Estimated resident population - Females - at 30 June,Females - 85 and over (no.),,,553,587,605,626,655,682,
ERP_F_21,Estimated resident population - Females - at 30 June,Females - 0-4 years (%),,,8.1,7.9,7.5,7.3,7.1,6.9,
ERP_F_22,Estimated resident population - Females - at 30 June,Females - 5-9 years (%),,,7.5,7.5,7.4,7.3,7.2,7.2,
ERP_F_23,Estimated resident population - Females - at 30 June,Females - 10-14 years (%),,,6.6,6.6,6.7,6.7,6.7,6.7,
ERP_F_24,Estimated resident population - Females - at 30 June,Females - 15-19 years (%),,,5.9,6,6,5.9,5.9,6,
ERP_F_25,Estimated resident population - Females - at 30 June,Females - 20-24 years (%),,,7.3,7.2,7.1,7.1,6.9,6.6,
ERP_F_26,Estimated resident population - Females - at 30 June,Females - 25-29 years (%),,,10,10,9.8,9.7,9.6,9.4,
ERP_F_27,Estimated resident population - Females - at 30 June,Females - 30-34 years (%),,,9.6,9.8,9.9,9.8,9.7,9.8,
ERP_F_28,Estimated resident population - Females - at 30 June,Females - 35-39 years (%),,,7.9,8.1,8.2,8.3,8.5,8.6,
ERP_F_29,Estimated resident population - Females - at 30 June,Females - 40-44 years (%),,,7.2,7,6.9,6.9,7,7.2,
ERP_F_30,Estimated resident population - Females - at 30 June,Females - 45-49 years (%),,,7,7,6.9,6.8,6.6,6.4,
ERP_F_31,Estimated resident population - Females - at 30 June,Females - 50-54 years (%),,,6.4,6.2,6.2,6.2,6.3,6.4,
ERP_F_32,Estimated resident population - Females - at 30 June,Females - 55-59 years (%),,,5.6,5.6,5.7,5.6,5.6,5.5,
ERP_F_33,Estimated resident population - Females - at 30 June,Females - 60-64 years (%),,,4.3,4.4,4.4,4.5,4.6,4.7,
ERP_F_34,Estimated resident population - Females - at 30 June,Females - 65-69 years (%),,,2.9,3,3.1,3.2,3.4,3.4,
ERP_F_35,Estimated resident population - Females - at 30 June,Females - 70-74 years (%),,,1.7,1.8,1.9,2,2.3,2.4,
ERP_F_36,Estimated resident population - Females - at 30 June,Females - 75-79 years (%),,,1,1.1,1.2,1.2,1.2,1.3,
ERP_F_37,Estimated resident population - Females - at 30 June,Females - 80-84 years (%),,,0.6,0.6,0.6,0.6,0.7,0.8,
ERP_F_38,Estimated resident population - Females - at 30 June,Females - 85 and over (%),,,0.5,0.5,0.5,0.5,0.5,0.6,
ERP_P_2,Estimated resident population - Persons - at 30 June,Persons - 0-4 years (no.),,,19356,19223,18705,18304,17966,17679,
ERP_P_3,Estimated resident population - Persons - at 30 June,Persons - 5-9 years (no.),,,18238,18477,18361,18188,18093,18092,
ERP_P_4,Estimated resident population - Persons - at 30 June,Persons - 10-14 years (no.),,,16004,16216,16512,16662,16896,17060,
ERP_P_5,Estimated resident population - Persons - at 30 June,Persons - 15-19 years (no.),,,14921,15253,15272,15132,15138,15177,
ERP_P_6,Estimated resident population - Persons - at 30 June,Persons - 20-24 years (no.),,,18506,18319,18368,18328,17866,17343,
ERP_P_7,Estimated resident population - Persons - at 30 June,Persons - 25-29 years (no.),,,24367,24407,23800,23634,23277,22895,
ERP_P_8,Estimated resident population - Persons - at 30 June,Persons - 30-34 years (no.),,,23262,23909,23951,23791,23730,23762,
ERP_P_9,Estimated resident population - Persons - at 30 June,Persons - 35-39 years (no.),,,19168,19677,20058,20279,20609,20806,
ERP_P_10,Estimated resident population - Persons - at 30 June,Persons - 40-44 years (no.),,,17658,17378,17251,17073,17146,17418,
ERP_P_11,Estimated resident population - Persons - at 30 June,Persons - 45-49 years (no.),,,17249,17330,17220,16967,16570,16036,
ERP_P_12,Estimated resident population - Persons - at 30 June,Persons - 50-54 years (no.),,,15629,15500,15284,15256,15465,15746,
ERP_P_13,Estimated resident population - Persons - at 30 June,Persons - 55-59 years (no.),,,13578,13783,14009,13982,14040,13863,
ERP_P_14,Estimated resident population - Persons - at 30 June,Persons - 60-64 years (no.),,,10786,11017,11004,11138,11560,11730,
ERP_P_15,Estimated resident population - Persons - at 30 June,Persons - 65-69 years (no.),,,7641,7810,8057,8265,8562,8751,
ERP_P_16,Estimated resident population - Persons - at 30 June,Persons - 70-74 years (no.),,,4510,4725,5070,5410,5915,6305,
ERP_P_17,Estimated resident population - Persons - at 30 June,Persons - 75-79 years (no.),,,2581,2800,2950,3173,3272,3407,
ERP_P_18,Estimated resident population - Persons - at 30 June,Persons - 80-84 years (no.),,,1276,1329,1443,1488,1713,1931,
ERP_P_19,Estimated resident population - Persons - at 30 June,Persons - 85 and over (no.),,,948,1008,1048,1083,1125,1199,
ERP_P_21,Estimated resident population - Persons - at 30 June,Persons - 0-4 years (%),,,7.9,7.7,7.5,7.4,7.2,7.1,
