Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - at 30 June,Estimated resident population (no.),,,1712843,1729608,1748010,1770048,1793547,1803192,
ERP_21,Estimated resident population - at 30 June,Population density (persons/km2),,,1.7,1.8,1.8,1.8,1.8,1.8,
ERP_M_20,Estimated resident population - at 30 June,Estimated resident population - males (no.),,,846877,854976,864207,875053,886234,891360,
ERP_F_20,Estimated resident population - at 30 June,Estimated resident population - females (no.),,,865966,874632,883803,894995,907313,911832,
ERP_19,Estimated resident population - at 30 June,Median age - males (years),,,38.8,38.8,38.9,38.9,39.1,39.5,
ERP_22,Estimated resident population - at 30 June,Median age - females (years),,,40.9,41,41.1,41.2,41.4,41.7,
ERP_23,Estimated resident population - at 30 June,Median age - persons (years),,,39.8,39.9,40,40.1,40.3,40.6,
ERP_18,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,,1105137,1111651,1119412,1129546,1140002,1139284,
ERP_17,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,,64.5,64.3,64,63.8,63.6,63.2,
ERP_M_2,Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,,52774,52225,51559,51028,50430,49880,
ERP_M_3,Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,,53196,53884,54211,54624,54534,54373,
ERP_M_4,Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,,49923,50781,52006,53200,54634,55169,
ERP_M_5,Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,,53125,53134,52979,52793,52296,51958,
ERP_M_6,Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,,59497,59695,60066,60830,60185,58217,
ERP_M_7,Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,,58227,58435,59267,60093,61293,61304,
ERP_M_8,Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,,57292,58114,58629,59460,60393,60529,
ERP_M_9,Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,,52277,53129,54892,56937,59058,60203,
ERP_M_10,Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,,54384,53230,52606,52413,52591,53405,
ERP_M_11,Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,,56420,57401,57413,57107,56602,55264,
ERP_M_12,Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,,56305,55678,55353,55390,55962,57242,
ERP_M_13,Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,,54984,55875,56624,57000,57195,56631,
ERP_M_14,Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,,49222,50040,50887,52006,53372,54656,
ERP_M_15,Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,,46611,46199,46545,47113,48003,48606,
ERP_M_16,Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,,34612,37456,39612,41376,43233,44448,
ERP_M_17,Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,,24785,25635,26601,27752,29344,31123,
ERP_M_18,Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,,17100,17648,18158,18746,19548,20192,
ERP_M_19,Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,,16143,16417,16799,17185,17561,18160,
ERP_M_21,Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,,6.2,6.1,6,5.8,5.7,5.6,
ERP_M_22,Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,,6.3,6.3,6.3,6.2,6.2,6.1,
ERP_M_23,Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,,5.9,5.9,6,6.1,6.2,6.2,
ERP_M_24,Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,,6.3,6.2,6.1,6,5.9,5.8,
ERP_M_25,Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,,7,7,7,7,6.8,6.5,
ERP_M_26,Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,,6.9,6.8,6.9,6.9,6.9,6.9,
ERP_M_27,Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,,6.8,6.8,6.8,6.8,6.8,6.8,
ERP_M_28,Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,,6.2,6.2,6.4,6.5,6.7,6.8,
ERP_M_29,Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,,6.4,6.2,6.1,6,5.9,6,
ERP_M_30,Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,,6.7,6.7,6.6,6.5,6.4,6.2,
ERP_M_31,Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,,6.6,6.5,6.4,6.3,6.3,6.4,
ERP_M_32,Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,,6.5,6.5,6.6,6.5,6.5,6.4,
ERP_M_33,Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,,5.8,5.9,5.9,5.9,6,6.1,
ERP_M_34,Estimated resident population - Males - at 30 June,Males - 65-69 years (%),,,5.5,5.4,5.4,5.4,5.4,5.5,
ERP_M_35,Estimated resident population - Males - at 30 June,Males - 70-74 years (%),,,4.1,4.4,4.6,4.7,4.9,5,
ERP_M_36,Estimated resident population - Males - at 30 June,Males - 75-79 years (%),,,2.9,3,3.1,3.2,3.3,3.5,
ERP_M_37,Estimated resident population - Males - at 30 June,Males - 80-84 years (%),,,2,2.1,2.1,2.1,2.2,2.3,
ERP_M_38,Estimated resident population - Males - at 30 June,Males - 85 and over (%),,,1.9,1.9,1.9,2,2,2,
ERP_F_2,Estimated resident population - Females - at 30 June,Females - 0-4 years (no.),,,50298,49568,48823,48412,48044,47661,
ERP_F_3,Estimated resident population - Females - at 30 June,Females - 5-9 years (no.),,,50966,51227,51375,51628,51794,51663,
ERP_F_4,Estimated resident population - Females - at 30 June,Females - 10-14 years (no.),,,47432,48467,49722,51034,52051,52704,
ERP_F_5,Estimated resident population - Females - at 30 June,Females - 15-19 years (no.),,,50758,50519,50102,49827,49459,48963,
ERP_F_6,Estimated resident population - Females - at 30 June,Females - 20-24 years (no.),,,56277,56498,56765,56952,56037,54193,
ERP_F_7,Estimated resident population - Females - at 30 June,Females - 25-29 years (no.),,,57592,57799,58393,59233,60078,59254,
ERP_F_8,Estimated resident population - Females - at 30 June,Females - 30-34 years (no.),,,57637,58677,59398,60045,60985,60791,
ERP_F_9,Estimated resident population - Females - at 30 June,Females - 35-39 years (no.),,,52316,53708,55554,57803,59796,60908,
ERP_F_10,Estimated resident population - Females - at 30 June,Females - 40-44 years (no.),,,54121,53062,52532,52767,53671,54953,
ERP_F_11,Estimated resident population - Females - at 30 June,Females - 45-49 years (no.),,,57863,58585,58591,57918,57196,55777,
ERP_F_12,Estimated resident population - Females - at 30 June,Females - 50-54 years (no.),,,57655,57050,56658,56649,57209,58120,
ERP_F_13,Estimated resident population - Females - at 30 June,Females - 55-59 years (no.),,,57215,58020,58814,59039,59406,58648,
ERP_F_14,Estimated resident population - Females - at 30 June,Females - 60-64 years (no.),,,51970,53002,53889,55284,57218,58268,
ERP_F_15,Estimated resident population - Females - at 30 June,Females - 65-69 years (no.),,,48855,48989,49888,50842,51939,52616,
ERP_F_16,Estimated resident population - Females - at 30 June,Females - 70-74 years (no.),,,37246,40273,42562,44737,46877,48767,
ERP_F_17,Estimated resident population - Females - at 30 June,Females - 75-79 years (no.),,,28496,29410,30284,31386,33018,34867,
ERP_F_18,Estimated resident population - Females - at 30 June,Females - 80-84 years (no.),,,21490,21892,22445,23277,24163,24899,
ERP_F_19,Estimated resident population - Females - at 30 June,Females - 85 and over (no.),,,27779,27886,28008,28162,28372,28780,
