Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - at 30 June,Estimated resident population (no.),,,6173172,6299798,6418168,6530852,6606149,6548040,
ERP_21,Estimated resident population - at 30 June,Population density (persons/km2),,,27.1,27.7,28.2,28.7,29,28.8,
ERP_M_20,Estimated resident population - at 30 June,Estimated resident population - males (no.),,,3051056,3114466,3174516,3231527,3267243,3236998,
ERP_F_20,Estimated resident population - at 30 June,Estimated resident population - females (no.),,,3122116,3185332,3243652,3299325,3338906,3311042,
ERP_19,Estimated resident population - at 30 June,Median age - males (years),,,36,35.9,35.9,36,36.4,37,
ERP_22,Estimated resident population - at 30 June,Median age - females (years),,,37.8,37.7,37.7,37.8,38.3,38.8,
ERP_23,Estimated resident population - at 30 June,Median age - persons (years),,,36.9,36.8,36.8,36.9,37.3,37.9,
ERP_18,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,,4104633,4182215,4255540,4325986,4357673,4282314,
ERP_17,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,,66.5,66.4,66.3,66.2,66,65.4,
ERP_M_2,Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,,206345,207726,207198,206028,202832,197936,
ERP_M_3,Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,,198930,202789,206578,209208,210486,209728,
ERP_M_4,Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,,180505,186870,192804,198261,203308,204714,
ERP_M_5,Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,,190121,190454,192125,194675,192961,188834,
ERP_M_6,Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,,229694,235310,240757,243803,236954,217666,
ERP_M_7,Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,,241834,247841,253401,259874,259668,246751,
ERP_M_8,Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,,235258,242524,248591,253799,256943,252043,
ERP_M_9,Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,,209119,217424,226974,236086,243994,245962,
ERP_M_10,Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,,205273,204367,204576,205920,209044,211556,
ERP_M_11,Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,,199647,205716,208700,209916,209866,205731,
ERP_M_12,Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,,189663,189042,189433,191610,195422,199623,
ERP_M_13,Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,,178575,182419,185676,187744,189448,187466,
ERP_M_14,Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,,157176,160135,163015,167421,172227,173633,
ERP_M_15,Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,,143581,143050,143773,145480,149342,150422,
ERP_M_16,Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,,107287,114928,121530,125929,131099,133337,
ERP_M_17,Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,,77936,80926,83286,86279,90250,94246,
ERP_M_18,Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,,52563,54241,56196,58257,60827,63033,
ERP_M_19,Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,,47549,48704,49903,51237,52572,54317,
ERP_M_21,Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,,6.8,6.7,6.5,6.4,6.2,6.1,
ERP_M_22,Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,,6.5,6.5,6.5,6.5,6.4,6.5,
ERP_M_23,Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,,5.9,6,6.1,6.1,6.2,6.3,
ERP_M_24,Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,,6.2,6.1,6.1,6,5.9,5.8,
ERP_M_25,Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,,7.5,7.6,7.6,7.5,7.3,6.7,
ERP_M_26,Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,,7.9,8,8,8,7.9,7.6,
ERP_M_27,Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,,7.7,7.8,7.8,7.9,7.9,7.8,
ERP_M_28,Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,,6.9,7,7.1,7.3,7.5,7.6,
ERP_M_29,Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,,6.7,6.6,6.4,6.4,6.4,6.5,
ERP_M_30,Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,,6.5,6.6,6.6,6.5,6.4,6.4,
ERP_M_31,Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,,6.2,6.1,6,5.9,6,6.2,
ERP_M_32,Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,,5.9,5.9,5.8,5.8,5.8,5.8,
