Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - at 30 June,Estimated resident population (no.),,,2555978,2587577,2621052,2663795,2718400,2749864,
ERP_21,Estimated resident population - at 30 June,Population density (persons/km2),,,1,1,1,1.1,1.1,1.1,
ERP_M_20,Estimated resident population - at 30 June,Estimated resident population - males (no.),,,1281968,1296925,1312539,1333605,1360250,1376477,
ERP_F_20,Estimated resident population - at 30 June,Estimated resident population - females (no.),,,1274010,1290652,1308513,1330190,1358150,1373387,
ERP_19,Estimated resident population - at 30 June,Median age - males (years),,,35.7,36,36.3,36.6,37,37.5,
ERP_22,Estimated resident population - at 30 June,Median age - females (years),,,36.9,37.2,37.5,37.8,38.2,38.6,
ERP_23,Estimated resident population - at 30 June,Median age - persons (years),,,36.3,36.6,36.9,37.2,37.6,38,
ERP_18,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,,1712908,1722099,1732678,1751892,1778507,1787890,
ERP_17,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,,67,66.6,66.1,65.8,65.4,65,
ERP_M_2,Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,,88587,89511,89321,89557,89064,88052,
ERP_M_3,Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,,86999,87996,89201,90164,91442,92569,
ERP_M_4,Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,,78394,81136,84345,87128,90107,92290,
ERP_M_5,Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,,79391,79346,79378,80027,80795,81810,
ERP_M_6,Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,,89424,88096,87348,87943,88031,85968,
ERP_M_7,Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,,102139,99403,96865,95634,95253,93318,
ERP_M_8,Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,,103474,103832,103352,103182,103509,102232,
ERP_M_9,Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,,89836,92502,95385,98827,102435,104904,
ERP_M_10,Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,,88901,87463,86972,87490,89246,91494,
ERP_M_11,Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,,87501,89904,91395,91710,91872,90819,
ERP_M_12,Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,,82645,82715,82886,84192,86442,89562,
ERP_M_13,Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,,75661,77587,79542,81284,82908,83586,
ERP_M_14,Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,,65504,66901,68601,70800,73710,75622,
ERP_M_15,Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,,58820,59185,59865,61008,62919,64489,
ERP_M_16,Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,,41490,44975,48589,51202,54400,57000,
ERP_M_17,Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,,29058,30763,32002,33950,36081,38248,
ERP_M_18,Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,,18515,19455,20560,21933,23303,24581,
ERP_M_19,Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,,15629,16155,16932,17574,18733,19933,
ERP_M_21,Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,,6.9,6.9,6.8,6.7,6.5,6.4,
ERP_M_22,Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,,6.8,6.8,6.8,6.8,6.7,6.7,
ERP_M_23,Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,,6.1,6.3,6.4,6.5,6.6,6.7,
ERP_M_24,Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,,6.2,6.1,6,6,5.9,5.9,
ERP_M_25,Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,,7,6.8,6.7,6.6,6.5,6.2,
ERP_M_26,Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,,8,7.7,7.4,7.2,7,6.8,
ERP_M_27,Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,,8.1,8,7.9,7.7,7.6,7.4,
ERP_M_28,Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,,7,7.1,7.3,7.4,7.5,7.6,
ERP_M_29,Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,,6.9,6.7,6.6,6.6,6.6,6.6,
