median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, lga_code_2021, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1430,39,1473,"10050",270,0.7,1909,2.3,779
1429,48,1950,"10250",420,0.8,1848,2.4,737
1370,43,1083,"10300",200,0.8,1781,2.5,734
1585,38,1733,"10470",320,0.7,2026,2.5,796
1200,52,1516,"10550",310,0.8,1501,2.2,645
1197,50,1517,"10600",340,0.8,1479,2.3,613
1128,52,1207,"10650",210,0.7,1460,2.2,618
2107,34,2383,"10750",400,0.9,2251,3.1,831
1326,43,1083,"10800",200,0.7,1811,2.3,730
1547,43,1517,"10850",270,0.8,1974,2.5,765
1756,45,2035,"10900",400,0.7,2235,2.4,817
1444,41,1083,"10950",200,0.8,1931,2.4,774
1559,37,912,"11150",180,0.8,1899,2.5,862
962,36,754,"11200",150,0.8,1232,2.3,553
1173,44,867,"11250",220,0.7,1623,2.2,647
1980,39,2200,"13800",400,0.8,2272,2.8,860
1236,48,894,"13850",175,0.7,1622,2.2,700
1175,45,1213,"13910",250,0.7,1552,2.4,657
2417,41,2600,"14000",495,0.9,2825,2.8,958
2998,46,4000,"14100",540,0.8,4116,2.6,1210
2340,38,3000,"14170",500,1.0,3155,2.3,1207
1398,41,1257,"14300",260,0.7,1796,2.4,742
1085,48,1301,"14350",300,0.8,1347,2.4,550
1834,48,2194,"14400",485,0.7,2202,2.5,827
3038,42,3500,"14500",630,0.8,3447,2.9,1117
983,52,1224,"14550",250,0.8,1311,2.2,520
1218,41,878,"14600",180,0.7,1576,2.4,644
1623,42,1950,"14650",375,0.8,2050,2.5,759
2801,37,2980,"14700",540,1.0,3619,2.4,1424
1417,38,1300,"14750",250,0.8,1815,2.5,745
1319,44,1517,"14850",310,0.8,1719,2.4,685
1196,46,1500,"14870",270,0.7,1658,2.3,632
1819,34,2200,"14900",400,0.9,2001,3.2,694
1165,47,1133,"14920",230,0.7,1479,2.3,620
1295,46,1192,"14950",200,0.7,1636,2.5,639
1766,36,1829,"15050",370,0.8,2088,2.7,802
1060,54,1500,"15240",315,0.7,1341,2.2,564
1486,42,1733,"15270",330,0.8,1966,2.4,703
1524,38,1300,"15300",210,0.8,1919,2.5,816
2892,45,3870,"15350",590,0.9,4502,2.3,1487
1260,49,1408,"15520",260,0.7,1593,2.4,653
1401,45,869,"15560",190,0.7,1790,2.3,782
1628,37,1517,"15650",300,0.7,2019,2.5,769
976,52,1368,"15700",300,0.8,1309,2.2,525
1498,40,1343,"15750",250,0.8,1944,2.4,778
1184,44,1000,"15800",200,0.7,1524,2.3,651
1308,41,1200,"15850",240,0.7,1721,2.5,717
1760,37,1987,"15900",400,0.8,2264,2.4,852
2524,38,3000,"15950",580,1.0,3743,2.0,1593
2592,41,3124,"15990",625,0.9,3131,2.7,1109
1867,34,2500,"11300",500,1.1,2101,2.7,739
1602,43,2167,"11350",520,0.9,1926,2.5,764
1538,44,1625,"11400",250,0.8,1984,2.6,768
2353,33,2500,"11450",500,0.8,2487,3.1,984
1700,35,2100,"11500",380,0.9,1927,2.9,738
2371,39,3000,"11520",560,1.0,2870,2.5,1107
1556,36,2167,"11570",400,1.0,1786,2.9,625
1516,37,867,"11600",200,0.8,1814,2.5,837
1507,43,2000,"11650",400,0.8,1954,2.5,727
988,42,650,"11700",153,0.8,1128,2.3,524
1493,37,1647,"11720",340,0.8,1818,2.6,696
1123,49,1378,"11730",310,0.8,1398,2.3,578
1740,37,1096,"11750",200,0.7,2260,2.3,900
1363,44,1733,"11800",375,0.8,1685,2.4,688
1310,44,1300,"12000",210,0.8,1691,2.5,693
1231,39,867,"12150",190,0.8,1533,2.4,661
1112,47,1200,"12350",230,0.7,1447,2.3,606
1678,34,2167,"12380",415,1.1,1808,3.0,654
1485,46,1820,"12700",300,0.8,1856,2.5,710
1240,46,1083,"12730",220,0.7,1709,2.2,701
1167,54,1517,"12750",325,0.7,1436,2.2,618
1390,39,2000,"12850",390,1.0,1482,3.2,485
1187,51,1300,"12870",250,0.7,1592,2.2,646
1259,42,1283,"12900",230,0.7,1691,2.4,718
1991,38,2474,"12930",450,1.0,2209,2.8,792
1149,46,1083,"12950",200,0.7,1384,2.3,632
934,50,1083,"13010",220,0.7,1324,2.1,528
1466,41,1733,"13310",320,0.7,1939,2.4,749
1420,44,1300,"13340",220,0.8,1833,2.5,723
1738,37,1473,"13450",290,0.8,2006,2.7,837
1557,37,1476,"13550",300,0.7,2001,2.5,780
1029,50,997,"13660",200,0.7,1308,2.3,541
1867,39,2000,"24410",385,0.8,2306,2.6,851
1441,47,1560,"16100",280,0.7,1869,2.3,759
1665,37,1700,"16150",330,0.7,2133,2.5,842
1336,41,1300,"16200",250,0.7,1790,2.4,700
2051,35,2383,"16260",450,1.0,2298,2.6,908
1903,35,2167,"16350",400,0.8,2188,2.8,866
1263,49,1733,"16380",375,0.7,1576,2.3,647
1372,47,1733,"16400",370,0.7,1714,2.4,671
2295,38,2167,"16490",355,0.8,2801,2.6,1159
2305,37,3033,"16550",550,1.0,3009,2.4,1121
1137,46,1341,"16610",295,0.8,1431,2.4,609
2098,37,2600,"16700",460,1.0,2519,2.5,967
1647,39,2114,"16900",420,0.8,1977,2.6,729
1250,48,1733,"16950",350,0.7,1537,2.3,634
2016,37,1917,"17000",338,0.8,2315,2.7,819
1593,43,1500,"17040",300,0.8,2092,2.4,835
1306,45,1300,"17080",230,0.8,1683,2.4,685
2831,38,3000,"17420",580,0.8,2990,3.1,1033
1296,47,1872,"17550",400,0.8,1663,2.4,658
1429,42,1560,"17620",270,0.7,1914,2.4,751
1465,49,1540,"17640",277,0.7,1906,2.4,753
1346,47,1333,"17650",250,0.7,1708,2.4,677
1638,35,1517,"17750",300,0.7,2060,2.5,839
1224,50,1056,"17850",200,0.7,1583,2.2,690
1001,44,858,"17900",180,0.8,1362,2.2,556
1321,45,1045,"17950",200,0.7,1743,2.4,744
1068,50,922,"18020",200,0.7,1387,2.3,559
2854,35,3500,"18050",670,1.0,3709,2.3,1442
1046,52,953,"18100",198,0.7,1398,2.2,575
1392,43,1300,"18200",200,0.8,1765,2.5,717
2556,39,3299,"18250",571,1.0,3235,2.6,1145
1673,48,2167,"18350",430,0.7,2096,2.4,794
2151,37,2363,"18400",415,0.8,2350,3.0,877
1682,39,2167,"18450",390,0.8,2151,2.5,754
3192,41,3900,"18500",695,0.9,4561,2.3,1619
2289,43,2167,"18710",350,0.8,2701,2.7,1050
1638,45,1300,"19399",263,0.8,1927,2.5,900
1340,49,1473,"20110",275,0.7,1769,2.3,731
1252,46,1083,"20260",245,0.7,1651,2.2,685
1429,39,1477,"20570",297,0.7,1871,2.4,743
2027,40,2167,"20660",399,0.8,2521,2.5,915
