slr_instlltns_accmltve_ttl_2001_incrse_wtr_htr_frm_prvs_yr_pc, lga_name_2019, yr, protected_areas_year_ended_30_june_protected_areas_total_pc, protected_areas_year_ended_30_june_protected_areas_total_ha, lga_code_2019, slr_instlltns_accmltve_ttl_2001_incrse_pnl_frm_prvs_yr_pc, land_area_ha
1.6,"Albury (C)",2018,null,4,"10050",13.6,30594.6
0.9,"Armidale Regional (A)",2018,17.4,149974,"10130",15.9,862069.9
4.2,"Ballina (A)",2018,4.5,2175,"10250",15.7,48493.9
9.4,"Balranald (A)",2018,4.4,95131,"10300",15.2,2169067.5
1.8,"Bathurst Regional (A)",2018,4.3,16522,"10470",17.1,381786.5
2.3,"Bayside (A)",2018,null,null,"10500",11.1,4989.0
2.3,"Bega Valley (A)",2018,43.2,271071,"10550",10.7,627888.1
2.6,"Bellingen (A)",2018,32.5,52019,"10600",12.2,160043.4
5.2,"Berrigan (A)",2018,1.7,3482,"10650",13.8,206577.6
1.9,"Blacktown (C)",2018,2.8,673,"10750",12.3,24004.9
1.4,"Bland (A)",2018,0.5,3983,"10800",11.5,855765.4
3.2,"Blayney (A)",2018,null,null,"10850",21.7,152464.7
1.6,"Blue Mountains (C)",2018,74.4,106460,"10900",10.4,143114.4
1.3,"Bogan (A)",2018,0.3,4778,"10950",40.3,1459990.0
1.0,"Bourke (A)",2018,7.1,294333,"11150",34.4,4159950.7
null,"Brewarrina (A)",2018,2.5,48426,"11200",52.8,1916348.0
1.7,"Canterbury-Bankstown (A)",2018,2.1,237,"11570",10.3,11023.7
2.4,"Carrathool (A)",2018,5.9,111484,"11600",13.3,1893448.5
2.6,"Central Coast (C) (NSW)",2018,27.8,46744,"11650",14.8,168107.0
null,"Central Darling (A)",2018,4.7,253375,"11700",30.9,5349219.3
10.1,"Broken Hill (C)",2018,null,null,"11250",14.4,17011.5
3.4,"Cessnock (C)",2018,28.1,55146,"11720",21.6,196515.9
