sex_ratio, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, lga_name19, percentage_person_aged_65_plus, lga_code19, median_age, state_name, males_num
94.1,1,62.5,54353,19.4,28005,"Albury (C)",18.1,"10050",38.6,"New South Wales",26348
95.0,1,65.4,30779,17.6,15784,"Armidale Regional (A)",17.0,"10130",35.9,"New South Wales",14995
93.4,1,57.5,44628,16.8,23079,"Ballina (A)",25.6,"10250",47.6,"New South Wales",21549
104.2,1,61.6,2338,20.5,1145,"Balranald (A)",17.9,"10300",40.2,"New South Wales",1193
101.4,1,64.2,43618,19.5,21657,"Bathurst Regional (A)",16.3,"10470",36.7,"New South Wales",21961
101.2,1,70.4,178396,15.5,88675,"Bayside (A)",14.1,"10500",35.1,"New South Wales",89721
96.6,1,57.0,34476,16.1,17539,"Bega Valley (A)",26.8,"10550",51.2,"New South Wales",16937
95.3,1,57.7,12996,17.7,6653,"Bellingen (A)",24.6,"10600",49.1,"New South Wales",6343
101.1,1,53.7,8750,16.5,4352,"Berrigan (A)",29.8,"10650",49.4,"New South Wales",4398
100.4,1,66.7,374451,22.8,186822,"Blacktown (C)",10.5,"10750",33.8,"New South Wales",187629
102.7,1,57.8,5972,20.1,2946,"Bland (A)",22.1,"10800",43.4,"New South Wales",3026
99.8,1,60.3,7379,20.5,3694,"Blayney (A)",19.2,"10850",42.8,"New South Wales",3685
94.9,1,61.3,79118,18.1,40592,"Blue Mountains (C)",20.6,"10900",44.0,"New South Wales",38526
101.6,1,59.8,2580,21.1,1280,"Bogan (A)",19.1,"10950",40.5,"New South Wales",1300
91.6,1,61.0,2590,25.5,1352,"Bourke (A)",13.5,"11150",35.8,"New South Wales",1238
113.7,1,65.4,1611,23.6,754,"Brewarrina (A)",11.0,"11200",32.7,"New South Wales",857
94.9,1,60.2,17479,16.9,8967,"Broken Hill (C)",22.9,"11250",45.0,"New South Wales",8512
97.7,1,64.3,152059,19.6,76918,"Hornsby (A)",16.1,"14000",39.8,"New South Wales",75141
103.2,1,61.0,14980,18.6,7371,"Hunters Hill (A)",20.4,"14100",42.1,"New South Wales",7609
97.1,1,72.9,200811,14.7,101864,"Inner West (A)",12.4,"14170",36.2,"New South Wales",98947
97.3,1,58.3,16890,20.3,8562,"Inverell (A)",21.3,"14200",42.2,"New South Wales",8328
133.1,1,66.3,6683,17.4,2867,"Junee (A)",16.3,"14300",39.1,"New South Wales",3816
103.8,1,57.7,29745,17.8,14597,"Kempsey (A)",24.5,"14350",47.4,"New South Wales",15148
