,bbox,location,avg_sentiment,count
0,"[112.921113954128, -35.1348464327536, 129.00193001566, -13.6894920283571]","Western Australia, Australia",0.03172697253546749,47
1,"[114.115011424, -21.975149602, 114.140753728, -21.9187106345]","Exmouth, Western Australia",0.009648370497427096,2
2,"[114.984345824, -34.0056185535, 115.004187008, -33.9690106425]","Gnarabup - Prevelly, Western Australia",0.15,1
3,"[114.993639, -34.01060301, 115.11214308, -33.92271396]","Margaret River, Western Australia",0.0,1
4,"[115.063552992, -33.6396430065, 115.163573472, -33.58049612]","Dunsborough, Western Australia",-0.02135642135642135,3
5,"[115.078374, -30.17291499, 115.54299504, -29.91445902]","Warradarge, Western Australia",0.06896551724137931,1
6,"[115.12833312, -34.346681094, 115.17306784, -34.300429466]","Augusta, Western Australia",0.03225806451612903,1
7,"[115.18312176, -33.703378966, 115.471491776, -33.5806458035]","Busselton, Western Australia",0.10313845772531523,3
8,"[115.31871684, -30.57076998, 115.91090892, -30.31738299]","Badgingarra, Western Australia",0.1,1
9,"[115.44947344, -32.027633759, 115.558403232, -31.9873434045]","Rottnest Island, Western Australia",0.06274509803921569,2
10,"[115.579510912, -31.5088593305, 115.60665648, -31.485394985]","Two Rocks, Western Australia",-0.09523809523809523,1
11,"[115.587653504, -33.4403386215, 115.753294432, -33.2139593015]","Bunbury, Western Australia",-0.010063150708312,7
12,"[115.617614368, -32.675715325, 116.239023008, -31.6244855145]","Perth, Western Australia",-0.021709542597785545,1017
13,"[115.790362752, -32.374305185, 115.834258048, -32.3186471395]","Baldivis, Western Australia",0.1375,2
14,"[115.954642304, -31.8037279815, 116.023731488, -31.7418732315]","Ellenbrook, Western Australia",0.07547169811320754,1
15,"[115.972975712, -33.7909173955, 115.999992, -33.77720329]","Balingup, Western Australia",-0.05,2
16,"[116.041506368, -32.717051096, 116.071218592, -32.7046849005]","Dwellingup, Western Australia",0.0,1
17,"[116.621278368, -31.6808953445, 116.703011168, -31.6238093025]","Northam, Western Australia",0.0027624329521124635,100
